fecha,wikidata_fecha,totalUsoAlDia,horasTotalesDeUso,horasTtotalesDeServicio,horasTotalesDeDisponibilidad,bicicletasMediasDisponibilidad,usoPorAbandonadosOcasionales,usoPorAbandonadosAnuales
"October 8, 2015",Q21075028,3991.13,19894.18,23885.31,995.22,7986,189,8175
"November 8, 2015",Q21411073,4364.4,19817.3,24181.7,1007.57,875,191,8941
"December 8, 2015",Q21686557,4633.72,19725.32,24359.04,1014.96,9132,251,9383
"August 13, 2015",Q20817516,4498.85,19530.97,24029.82,1001.24,8974,236,921
"August 14, 2015",Q22116820,4309.22,22770.43,27079.65,1128.32,8165,231,8396
"August 15, 2015",Q22116821,4156.77,21431.75,25588.52,1066.19,70,297,7297
"August 16, 2015",Q22116822,3921.48,19269.1,23190.58,966.27,677,336,7106
"August 17, 2015",Q20827650,4139.1,18910.27,23049.37,960.39,8362,200,8562
"August 18, 2015",Q20828481,4130.08,19764.92,23895.0,995.63,8796,269,9065
"August 19, 2015",Q22116826,4298.8,20216.48,24515.28,1021.47,891,227,9137
"August 20, 2015",Q22266587,4429.1,20311.57,24740.67,1030.86,9408,294,9702
"August 21, 2015",Q22266589,4288.75,21897.31,26186.06,1091.09,8737,306,9043
"August 22, 2015",Q22266590,4247.52,21262.88,25510.4,1062.93,7668,475,8143
"August 23, 2015",Q22266593,4500.27,18054.25,22554.52,939.77,7911,469,838
"August 24, 2015",Q22266594,4089.2,19661.07,23750.27,989.59,8635,223,8858
"August 25, 2015",Q20871339,4406.8,19250.9,23657.7,985.74,9397,212,9609
"August 26, 2015",Q20872256,4727.38,18599.57,23326.95,971.96,10135,197,10332
"August 27, 2015",Q22266598,4786.27,18617.77,23404.04,975.17,10421,189,1061
"August 28, 2015",Q20886185,4808.35,19826.72,24635.07,1026.46,10309,245,10554
"August 29, 2015",Q20888740,4902.48,18933.37,23835.85,993.16,9433,400,9833
"August 30, 2015",Q22266575,4264.58,16590.13,20854.71,868.95,8022,312,8334
"August 31, 2015",Q22266577,4193.65,17616.37,21810.02,908.75,9601,142,9743
"January 9, 2015",,4862.37,15893.35,20755.72,864.82,11238,162,114
"February 9, 2015",,5299.17,15529.33,20828.5,867.85,11942,158,121
"March 9, 2015",,5577.73,15865.73,21443.46,893.48,12919,171,1309
"April 9, 2015",,5399.38,17933.35,23332.73,972.2,12253,177,1243
"May 9, 2015",,5619.78,16950.61,22570.39,940.43,10598,454,11052
"June 9, 2015",,6045.88,14331.35,20377.23,849.05,10629,561,1119
"July 9, 2015",,5006.28,16303.12,21309.4,887.89,10586,226,10812
"August 9, 2015",,5602.02,16734.39,22336.41,930.68,12325,194,12519
"September 9, 2015",,5851.15,17181.96,23033.11,959.71,12863,184,13047
"October 9, 2015",,5911.82,18342.1,24253.92,1010.58,13747,164,13911
"November 9, 2015",,6347.5,20914.7,27262.2,1135.93,13558,254,13812
"December 9, 2015",,5990.42,18784.65,24775.07,1032.29,11419,513,11932
"September 13, 2015",Q20968596,5927.62,15314.63,21242.25,885.09,10394,549,10943
"September 14, 2015",Q21034803,5101.38,22461.62,27563.0,1148.46,11076,206,11282
"September 15, 2015",Q21034802,4420.27,22451.68,26871.95,1119.66,10079,106,10185
"September 16, 2015",Q21034801,3437.28,22886.11,26323.39,1096.81,7669,64,7733
"September 17, 2015",Q21034800,5186.62,25263.18,30449.8,1268.74,11883,127,1201
"September 18, 2015",,6024.15,29454.9,35479.05,1478.29,13478,199,13677
"September 19, 2015",Q21034798,6158.48,27091.52,33250.0,1385.42,12287,328,12615
"September 20, 2015",Q21034782,6386.03,22464.77,28850.8,1202.12,11685,745,1243
"September 21, 2015",Q21034779,5225.35,26901.23,32126.58,1338.61,12068,230,12298
"September 22, 2015",Q21000243,5904.35,27842.22,33746.57,1406.11,13662,130,13792
"September 23, 2015",Q21034777,5701.05,28433.28,34134.33,1422.26,13555,198,13753
"September 24, 2015",Q21034776,6056.5,29494.8,35551.3,1481.3,14077,183,1426
"September 25, 2015",Q21011127,6405.98,31718.06,38124.04,1588.5,14976,332,15308
"September 26, 2015",Q21034774,6680.65,28258.18,34938.83,1455.78,13485,594,14079
