IdStation,Name,Address,AddressForReconciling,same_as_wikidata_address,DockBikes,FreeBases,TotalBases,Estado,NoAvailabl,Longitud,Latitud
1408,4 - Malasaña,"Calle Manuela Malasaña, 3","Calle de Manuela Malasaña, Madrid",https://www.wikidata.org/entity/Q27044275,2,25,27,Fuera de servicio,Disponible,-3.7025,40.428626
1409,5 - Fuencarral,"Calle Fuencarral, 106",calle de Fuencarral,https://www.wikidata.org/entity/Q5740840,4,23,27,Fuera de servicio,Disponible,-3.702135,40.428521
1410,6 - Colegio Arquitectos,"Calle Hortaleza, 63",calle de Hortaleza,https://www.wikidata.org/entity/Q5740911,9,9,19,Poca disponibilidad,Disponible,-3.698447,40.424148
1411,7 - Hortaleza,"Calle Hortaleza, 75",calle de Hortaleza,https://www.wikidata.org/entity/Q5740911,18,1,19,Disponible,Disponible,-3.697771,40.425191
1417,13 - Conde Duque,"Calle Conde Duque, 22",calle del Conde Duque,https://www.wikidata.org/entity/Q27031730,3,20,23,Fuera de servicio,Disponible,-3.7105,40.4273
1418,14 - Ventura Rodríguez,"Ventura Rodríguez, 3",calle de Ventura Rodríguez,https://www.wikidata.org/entity/Q28016771,5,22,27,Fuera de servicio,Disponible,-3.713307,40.426043
1419,15 - Norte,"Calle norte, 10","Calle del Norte, Madrid",https://www.wikidata.org/entity/Q29840509,1,18,19,Fuera de servicio,Disponible,-3.707445,40.426238
1423,19 - Prim,"Calle Prim, 4","Calle de Prim, Madrid",https://www.wikidata.org/entity/Q28916366,20,8,28,Disponible,Disponible,-3.695498,40.421862
1424,20A - Banco de España,"Calle Alcalá, 48",Alcalá Street,https://www.wikidata.org/entity/Q2424746,15,12,27,Poca disponibilidad,Disponible,-3.695247,40.418808
1427,24 - Palacio de Oriente,"Calle Carlos III, 1","Calle de Carlos III, Madrid",https://www.wikidata.org/entity/Q29004341,12,6,18,Poca disponibilidad,Disponible,-3.71065,40.417767
1432,28 - Metro Sevilla,"Calle Alcalá, 28",Alcalá Street,https://www.wikidata.org/entity/Q2424746,17,1,18,Disponible,Disponible,-3.698458,40.41806
1433,29 - Marqués de Cubas,"Calle del Marqués de Cubas, 25",calle del Marqués de Cubas,https://www.wikidata.org/entity/Q19304646,20,3,23,Disponible,Disponible,-3.695743,40.416384
1434,30 - San Quintín,"Calle Pavía, 4","Calle de Pavía, Madrid",https://www.wikidata.org/entity/Q30816733,8,19,27,Fuera de servicio,Disponible,-3.711504,40.41921
1435,31 - Mayor,"Calle Mayor, 16",Calle Mayor,https://www.wikidata.org/entity/Q1149052,18,9,27,Poca disponibilidad,Disponible,-3.706897,40.416364
1445,41 - Metro Antón Martín,"Calle Atocha, 56",calle de Atocha,https://www.wikidata.org/entity/Q5492657,12,7,19,Poca disponibilidad,Disponible,-3.699115,40.412205
1446,42 - Santa Isabel,"Calle Santa Isabel, 32",Calle Santa Isabel,https://www.wikidata.org/entity/Q121327550,0,26,27,Fuera de servicio,Disponible,-3.698292,40.410849
1447,43 - Jesús y María,"Calle Jesús y María, 38","Calle de Jesús y María, Madrid",https://www.wikidata.org/entity/Q52153441,12,6,18,Poca disponibilidad,Disponible,-3.702471,40.410039
1450,46 - Ribera de Curtidores,"Calle Ribera de Curtidores, 28",Calle de la Ribera de Curtidores,https://www.wikidata.org/entity/Q5740938,14,13,27,Poca disponibilidad,Disponible,-3.707126,40.405315
1453,49 - Casa Encendida,"Ronda de Atocha, 34",Ronda de Atocha,https://www.wikidata.org/entity/Q26831149,12,15,27,Poca disponibilidad,Disponible,-3.699277,40.406053
1458,54 - Metro Tribunal,"Calle Barceló, 9",calle de Barceló,https://www.wikidata.org/entity/Q27051120,15,4,19,Disponible,Disponible,-3.700393,40.426599
1462,58 - Metro Chueca,"Calle Augusto Figueroa, 33","Calle de Augusto Figueroa, Madrid",https://www.wikidata.org/entity/Q29564346,7,20,27,Fuera de servicio,Disponible,-3.697858,40.422278
1463,59 - Plaza de Juan Pujol,"Calle Espíritu Santo, 30","Calle del Espíritu Santo, Madrid",https://www.wikidata.org/entity/Q5740833,4,15,19,Fuera de servicio,Disponible,-3.704342,40.42555
1465,61 - O Donnell - Narváez,"Calle O Donnell, 30",calle de O'Donnell,https://www.wikidata.org/entity/Q5740859,24,3,27,Disponible,Disponible,-3.675314,40.421455
1466,62 - Hospital M. Infantil Gregorio Marañón,"Calle O Donnell, 48",calle de O'Donnell,https://www.wikidata.org/entity/Q5740859,22,5,27,Disponible,Disponible,-3.672497,40.421315
1467,63 - Hospital Gral. Uni. Gregorio Marañón,"Calle Ibiza, 64","Calle de Ibiza, Madrid",https://www.wikidata.org/entity/Q63247838,4,19,23,Fuera de servicio,Disponible,-3.670896,40.417924
1468,65 - Parque del Retiro - Calle Antonio Maura,"Calle Antonio Maura, 13","Calle de Antonio Maura, Madrid",https://www.wikidata.org/entity/Q29566726,22,2,24,Disponible,Disponible,-3.689425,40.416701
1471,69 - Parque del Retiro - Puerta Ángel Caído,"Avenida de Alfonso XII, 54","Avenida de Alfonso XIII, Madrid",https://www.wikidata.org/entity/Q29397736,8,19,27,Fuera de servicio,Disponible,-3.688822,40.409808
1472,70 - Hospital Uni. Infantil Niño Jesús,"Avenida de Menéndez Pelayo, 63","Avenida de Menéndez Pelayo, Madrid",https://www.wikidata.org/entity/Q28936960,17,10,27,Poca disponibilidad,Disponible,-3.677873,40.415382
1474,72 - Metro Sáinz de Baranda,"Calle Doctor Esquerdo, 62",calle del Doctor Esquerdo,https://www.wikidata.org/entity/Q5741005,7,16,23,Fuera de servicio,Disponible,-3.6696,40.4159
1476,74 - Parque Retiro - Jardines Cecilio Rguez,"Avenida de Menéndez Pelayo, 69","Avenida de Menéndez Pelayo, Madrid",https://www.wikidata.org/entity/Q28936960,20,7,27,Disponible,Disponible,-3.676589,40.412063
