sistema,nombre,nombre-uri,linea,linea-uri,tipo,tipo-uri,alcaldias,alcaldias-uri,anio
STC Metro,Pantitlán,pantitlan,01,linea-1,Terminal / Transbordo,terminal-transbordo,Venustiano Carranza,venustiano-carranza,1984
STC Metro,Zaragoza,zaragoza,01,linea-1,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Gomez Farías,gomez-farias,01,linea-1,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Boulevard Puerto Aéreo,boulevard-puerto-aereo,01,linea-1,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Balbuena,balbuena,01,linea-1,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Moctezuma,moctezuma,01,linea-1,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,San Lázaro,san-lazaro,01,linea-1,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Candelaria,candelaria,01,linea-1,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Merced,merced,01,linea-1,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Pino Suárez,pino-suarez,01,linea-1,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Isabel La Católica,isabel-la-catolica,01,linea-1,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Salto del Agua,salto-del-agua,01,linea-1,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Balderas,balderas,01,linea-1,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Cuauhtémoc,cuauhtemoc,01,linea-1,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Insurgentes,insurgentes,01,linea-1,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Sevilla,sevilla,01,linea-1,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Chapultepec,chapultepec,01,linea-1,Intermedia,intermedia,Cuauhtémoc / Miguel Hidalgo,cuauhtemoc;miguel-hidalgo,1969
STC Metro,Juanacatlán,juanacatlan,01,linea-1,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Tacubaya,tacubaya,01,linea-1,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Observatorio,observatorio,01,linea-1,Terminal,terminal,Álvaro Obregón,alvaro-obregon,1972
STC Metro,Cuatro Caminos,cuatro-caminos,02,linea-2,Terminal,terminal,Estado de México - Naucalpan de Juárez,estado-de-mexico-naucalpan-de-juarez,1984
STC Metro,Panteones,panteones,02,linea-2,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1984
STC Metro,Tacuba,tacuba,02,linea-2,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Cuitláhuac,cuitlahuac,02,linea-2,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Popotla,popotla,02,linea-2,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Colegio Militar,colegio-militar,02,linea-2,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Normal,normal,02,linea-2,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,San Cosme,san-cosme,02,linea-2,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Revolución,revolucion,02,linea-2,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Hidalgo,hidalgo,02,linea-2,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Bellas Artes,bellas-artes,02,linea-2,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Allende,allende,02,linea-2,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Zócalo,zocalo,02,linea-2,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Pino Suárez,pino-suarez,02,linea-2,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,San Antonio Abad,san-antonio-abad,02,linea-2,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Chabacano,chabacano,02,linea-2,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Viaducto,viaducto,02,linea-2,Intermedia,intermedia,Benito Juárez / Iztacalco,benito-juarez;iztacalco,1970
STC Metro,Xola,xola,02,linea-2,Intermedia,intermedia,Benito Juárez,benito-juarez,1970
STC Metro,Villa de Cortés,villa-de-cortes,02,linea-2,Intermedia,intermedia,Benito Juárez,benito-juarez,1970
STC Metro,Nativitas,nativitas,02,linea-2,Intermedia,intermedia,Benito Juárez,benito-juarez,1970
STC Metro,Portales,portales,02,linea-2,Intermedia,intermedia,Benito Juárez,benito-juarez,1970
STC Metro,Ermita,ermita,02,linea-2,Intermedia / Transbordo,intermedia-transbordo,Benito Juárez,benito-juarez,1970
STC Metro,General Anaya,general-anaya,02,linea-2,Intermedia,intermedia,Coyoacán,coyoacan,1970
STC Metro,Tasqueña,tasquena,02,linea-2,Terminal,terminal,Coyoacán,coyoacan,1970
STC Metro,Indios Verdes,indios-verdes,03,linea-3,Terminal,terminal,Gustavo A. Madero,gustavo-a.-madero,1979
STC Metro,Deportivo 18 de Marzo,deportivo-18-de-marzo,03,linea-3,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,gustavo-a.-madero,1979
STC Metro,Potrero,potrero,03,linea-3,Intermedia,intermedia,Gustavo A. Madero,gustavo-a.-madero,1979
STC Metro,La Raza,la-raza,03,linea-3,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,gustavo-a.-madero,1978
STC Metro,Tlatelolco,tlatelolco,03,linea-3,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Guerrero,guerrero,03,linea-3,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Hidalgo,hidalgo,03,linea-3,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Juárez,juarez,03,linea-3,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Balderas,balderas,03,linea-3,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Niños Héroes,ninos-heroes,03,linea-3,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Hospital General,hospital-general,03,linea-3,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Centro Médico,centro-medico,03,linea-3,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1980
STC Metro,Etiopía,etiopia,03,linea-3,Intermedia,intermedia,Benito Juárez,benito-juarez,1980
STC Metro,Eugenia,eugenia,03,linea-3,Intermedia,intermedia,Benito Juárez,benito-juarez,1980
STC Metro,División del Norte,division-del-norte,03,linea-3,Intermedia,intermedia,Benito Juárez,benito-juarez,1980
STC Metro,Zapata,zapata,03,linea-3,Intermedia / Transbordo,intermedia-transbordo,Benito Juárez,benito-juarez,1980
STC Metro,Coyoacán,coyoacan,03,linea-3,Intermedia,intermedia,Benito Juárez,benito-juarez,1983
STC Metro,Viveros Derechos Humanos,viveros-derechos-humanos,03,linea-3,Intermedia,intermedia,Álvaro Obregón / Coyoacán,alvaro-obregon;coyoacan,1983
STC Metro,Miguel Ángel de Quevedo,miguel-angel-de-quevedo,03,linea-3,Intermedia,intermedia,Coyoacán,coyoacan,1983
STC Metro,Copilco,copilco,03,linea-3,Intermedia,intermedia,Coyoacán,coyoacan,1983
STC Metro,Universidad,universidad,03,linea-3,Terminal,terminal,Coyoacán,coyoacan,1983
STC Metro,Santa Anita,santa-anita,04,linea-4,Terminal / Transbordo,terminal-transbordo,Iztacalco,iztacalco,1982
STC Metro,Jamaica,jamaica,04,linea-4,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1982
STC Metro,Fray Servando,fray-servando,04,linea-4,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1982
STC Metro,Candelaria,candelaria,04,linea-4,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1981
STC Metro,Morelos,morelos,04,linea-4,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1981
STC Metro,Canal del Norte,canal-del-norte,04,linea-4,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1981
STC Metro,Consulado,consulado,04,linea-4,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,gustavo-a.-madero,1981
STC Metro,Bondojito,bondojito,04,linea-4,Intermedia,intermedia,Gustavo A. Madero,gustavo-a.-madero,1981
STC Metro,Talismán,talisman,04,linea-4,Intermedia,intermedia,Gustavo A. Madero,gustavo-a.-madero,1981
STC Metro,Martín Carrera,martin-carrera,04,linea-4,Terminal / Transbordo,terminal-transbordo,Gustavo A. Madero,gustavo-a.-madero,1981
STC Metro,Politécnico,politecnico,05,linea-5,Terminal,terminal,Gustavo A. Madero,gustavo-a.-madero,1982
STC Metro,Instituto del Petróleo,instituto-del-petroleo,05,linea-5,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,gustavo-a.-madero,1982
STC Metro,Autobuses del Norte,autobuses-del-norte,05,linea-5,Intermedia,intermedia,Gustavo A. Madero,gustavo-a.-madero,1982
STC Metro,La Raza,la-raza,05,linea-5,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,gustavo-a.-madero,1982
STC Metro,Misterios,misterios,05,linea-5,Intermedia,intermedia,Gustavo A. Madero / Cuauhtémoc,gustavo-a.-madero;cuauhtemoc,1982
STC Metro,Valle Gómez,valle-gomez,05,linea-5,Intermedia,intermedia,Gustavo A. Madero / Venustiano Carranza,gustavo-a.-madero;venustiano-carranza,1982
STC Metro,Consulado,consulado,05,linea-5,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero / Venustiano Carranza,gustavo-a.-madero;venustiano-carranza,1981
STC Metro,Eduardo Molina,eduardo-molina,05,linea-5,Intermedia,intermedia,Gustavo A. Madero / Venustiano Carranza,gustavo-a.-madero;venustiano-carranza,1981
STC Metro,Aragón,aragon,05,linea-5,Intermedia,intermedia,Gustavo A. Madero / Venustiano Carranza,gustavo-a.-madero;venustiano-carranza,1981
STC Metro,Oceanía,oceania,05,linea-5,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1981
