ID,NOMBRE,NOMBRE_URI,COORDENADAS,DIRECCIÓN,C.P.,POBLACIÓN,POBLACIÓN_URI
70200,Guadalajara,https://wikidata.org/entity/Q3780222,"(40,534668; -3,2985719)","CALLE FRANCISCO ARITIO, S/N",19004,Guadalajara,https://wikidata.org/entity/Q11953
70105,Azuqueca,https://wikidata.org/entity/Q5845757,"(40,56104; -3,265446)","PASEO ESTACION FERROCARRIL, S/N",19200,Azuqueca de Henares,https://wikidata.org/entity/Q794315
70108,Coslada,https://wikidata.org/entity/Q2244036,"(40,4241947; -3,5602359)","CALLE DOCTOR FLEMING, S/N",21820,Coslada,https://wikidata.org/entity/Q164197
18001,Recoletos,https://wikidata.org/entity/Q8841582,"(40,423371; -3,690995)","PASEO DE RECOLETOS, S/N",28001,Madrid,https://wikidata.org/entity/Q2807
18005,Pirámides railway station,https://wikidata.org/entity/Q112040687,"(40,402516; -3,711374)","PASEO DE LAS ACACIAS - DOCTOR VALLEJO NAJERA, S/N",28005,Madrid,https://wikidata.org/entity/Q2807
10000,Príncipe Pío,https://wikidata.org/entity/Q11830371,"(40,421389; -3,718968)","PASEO DE LA FLORIDA, 2",28008,Madrid,https://wikidata.org/entity/Q2807
35609,Embajadores,https://wikidata.org/entity/Q112042102,"(40,404609; -3,702592)","GLORIETA EMBAJADORES, 6",28012,Madrid,https://wikidata.org/entity/Q2807
18101,Sol,https://wikidata.org/entity/Q1766008,"(40,416856; -3,702904)","PUERTA DEL SOL, S/N",28013,Madrid,https://wikidata.org/entity/Q2807
70002,Asamblea de Madrid-Entrevías,https://wikidata.org/entity/Q1960376,"(40,3814976; -3,667215)","AVENIDA DE ENTREVIAS, S/N",28018,Madrid,https://wikidata.org/entity/Q2807
37001,Villaverde Alto railway station,https://wikidata.org/entity/Q112043133,"(40,341622; -3,712565)","CALLE DOMINGO PARRAGA, 42",28021,Madrid,https://wikidata.org/entity/Q2807
60100,Villaverde Bajo,https://wikidata.org/entity/Q2560615,"(40,3555397; -3,6832514)","CALLE ESTACION FERROCARRIL, S/N",28021,Madrid,https://wikidata.org/entity/Q2807
60101,San Cristóbal Industrial,https://wikidata.org/entity/Q5847117,"(40,3320318; -3,6963666)","CALLE TRANSVERSAL SEXTA, S/N (POLIGONO INDUSTRIAL DE VILLAVERDE)",28021,Madrid,https://wikidata.org/entity/Q2807
60107,San Cristóbal de los Ángeles,https://wikidata.org/entity/Q5494493,"(40,3419854; -3,683232)","CARRETERA DE ANDALUCIA, KM 10.700",28021,Madrid,https://wikidata.org/entity/Q2807
10001,Estación de Aravaca,https://wikidata.org/entity/Q3647056,"(40,448345; -3,786191)","AVENIDA DEL TALGO - CALLE DE LAS ROSAS, S/N",28023,Madrid,https://wikidata.org/entity/Q2807
35603,Cuatro Vientos,https://wikidata.org/entity/Q112043421,"(40,377714; -3,791574)","CALLE ROBERT DE CAPA, 26",28024,Madrid,https://wikidata.org/entity/Q2807
35702,Doce de Octubre,https://wikidata.org/entity/Q5846116,"(40,379224; -3,698976)","CALLE TOMELLOSO, 59",28026,Madrid,https://wikidata.org/entity/Q2807
70001,Vallecas,https://wikidata.org/entity/Q5548317,"(40,382264; -3,624931)","AVENIDA DE LA DEMOCRACIA, 1",28031,Madrid,https://wikidata.org/entity/Q2807
70003,El Pozo,https://wikidata.org/entity/Q613656,"(40,3765168; -3,6564132)","CAMINO DE HORMIGUERAS, S/N",28031,Madrid,https://wikidata.org/entity/Q2807
70109,Santa Eugenia,https://wikidata.org/entity/Q5847173,"(40,3877971; -3,6087501)","AVENIDA SANTA EUGENIA, 9",28031,Madrid,https://wikidata.org/entity/Q2807
17001,Fuencarral station,https://wikidata.org/entity/Q8779819,"(40,5024656; -3,6817503)","CALLE ANTONIO CABEZON, S/N",28034,Madrid,https://wikidata.org/entity/Q2807
97200,Mirasierra,https://wikidata.org/entity/Q3858791,"(40,499759; -3,709755)","CALLE DEL MONASTERIO DE LA HUELGAS, S/N",28034,Madrid,https://wikidata.org/entity/Q2807
97201,Ramón y Cajal,https://wikidata.org/entity/Q5847026,"(40,4880223; -3,6935145)","CARRETERA M-607 A COLMENAR, KM. 6.100",28034,Madrid,https://wikidata.org/entity/Q2807
97100,Pitis,https://wikidata.org/entity/Q112042205,"(40,4956316; -3,7256015)","CALLE GLORIA FUERTES, S/N",28035,Madrid,https://wikidata.org/entity/Q2807
