fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,wikidata_uri,num_personas,num_personas_hombres,num_personas_mujeres
1 de enero de 2024,28079,Madrid,1,Centro,11,Palacio,https://www.wikidata.org/wiki/Q2136510,24.332,12.008,12.324
1 de enero de 2024,28079,Madrid,1,Centro,12,Embajadores,https://www.wikidata.org/wiki/Q2449844,48.590,25.475,23.115
1 de enero de 2024,28079,Madrid,1,Centro,13,Cortes,https://www.wikidata.org/wiki/Q2535637,11.171,5.523,5.648
1 de enero de 2024,28079,Madrid,1,Centro,14,Justicia,https://www.wikidata.org/wiki/Q1992319,18.739,9.497,9.242
1 de enero de 2024,28079,Madrid,1,Centro,15,Universidad,https://www.wikidata.org/wiki/Q10387767,34.073,16.850,17.223
1 de enero de 2024,28079,Madrid,1,Centro,16,Sol,https://www.wikidata.org/wiki/Q2465181,8.506,4.381,4.125
1 de enero de 2024,28079,Madrid,2,Arganzuela,21,Imperial,https://www.wikidata.org/wiki/Q3773740,22.668,10.538,12.130
1 de enero de 2024,28079,Madrid,2,Arganzuela,22,Las Acacias,https://www.wikidata.org/wiki/Q3319190,36.475,16.823,19.652
1 de enero de 2024,28079,Madrid,2,Arganzuela,23,La Chopera,https://www.wikidata.org/wiki/Q3773750,20.256,9.242,11.014
1 de enero de 2024,28079,Madrid,2,Arganzuela,24,Legazpi,https://www.wikidata.org/wiki/Q3773990,19.858,9.712,10.146
1 de enero de 2024,28079,Madrid,2,Arganzuela,25,Las Delicias,https://www.wikidata.org/wiki/Q3773736,29.465,13.888,15.577
1 de enero de 2024,28079,Madrid,2,Arganzuela,26,Palos de la Frontera,https://www.wikidata.org/wiki/Q521009,25.790,12.112,13.678
1 de enero de 2024,28079,Madrid,2,Arganzuela,27,Atocha,https://www.wikidata.org/wiki/Q3814594,2.047,996,1.051
1 de enero de 2024,28079,Madrid,3,Retiro,31,Pacífico,https://www.wikidata.org/wiki/Q3773753,33.743,15.154,18.589
1 de enero de 2024,28079,Madrid,3,Retiro,32,Adelfas,https://www.wikidata.org/wiki/Q3774001,19.025,8.854,10.171
1 de enero de 2024,28079,Madrid,3,Retiro,33,Estrella,https://www.wikidata.org/wiki/Q3773738,22.774,10.454,12.320
1 de enero de 2024,28079,Madrid,3,Retiro,34,Ibiza,https://www.wikidata.org/wiki/Q15249910,22.010,9.723,12.287
1 de enero de 2024,28079,Madrid,3,Retiro,35,Jerónimos,https://www.wikidata.org/wiki/Q10306766,6.934,3.245,3.689
1 de enero de 2024,28079,Madrid,3,Retiro,36,Niño Jesús,https://www.wikidata.org/wiki/Q3773746,15.271,6.909,8.362
1 de enero de 2024,28079,Madrid,4,Salamanca,41,Recoletos,https://www.wikidata.org/wiki/Q3814551,15.845,7.136,8.709
1 de enero de 2024,28079,Madrid,4,Salamanca,42,Goya,https://www.wikidata.org/wiki/Q3814578,30.381,13.219,17.162
1 de enero de 2024,28079,Madrid,4,Salamanca,43,Fuente del Berro,https://www.wikidata.org/wiki/Q3814564,21.449,9.433,12.016
1 de enero de 2024,28079,Madrid,4,Salamanca,44,La Guindalera,https://www.wikidata.org/wiki/Q3814559,42.905,19.531,23.374
1 de enero de 2024,28079,Madrid,4,Salamanca,45,Lista,https://www.wikidata.org/wiki/Q4779,21.506,9.315,12.191
1 de enero de 2024,28079,Madrid,4,Salamanca,46,Castellana,https://www.wikidata.org/wiki/Q4781,17.692,7.740,9.952
1 de enero de 2024,28079,Madrid,5,Chamartín,51,El Viso,https://www.wikidata.org/wiki/Q4778,17.545,7.917,9.628
1 de enero de 2024,28079,Madrid,5,Chamartín,52,Prosperidad,https://www.wikidata.org/wiki/Q4776,36.961,16.530,20.431
1 de enero de 2024,28079,Madrid,5,Chamartín,53,Ciudad Jardín,https://www.wikidata.org/wiki/Q3773744,18.928,8.402,10.526
1 de enero de 2024,28079,Madrid,5,Chamartín,54,Hispanoamérica,https://www.wikidata.org/wiki/Q3814573,32.014,14.453,17.561
1 de enero de 2024,28079,Madrid,5,Chamartín,55,Nueva España,https://www.wikidata.org/wiki/Q10338128,25.043,11.312,13.731
1 de enero de 2024,28079,Madrid,5,Chamartín,56,Castilla,https://www.wikidata.org/wiki/Q3813735,17.620,8.246,9.374
1 de enero de 2024,28079,Madrid,6,Tetuán,61,Bellas Vistas,https://www.wikidata.org/wiki/Q11908929,30.531,14.018,16.513
1 de enero de 2024,28079,Madrid,6,Tetuán,62,Cuatro Caminos,https://www.wikidata.org/wiki/Q5824684,35.723,16.020,19.703
1 de enero de 2024,28079,Madrid,6,Tetuán,63,Castillejos,https://www.wikidata.org/wiki/Q11913212,21.256,9.619,11.637
1 de enero de 2024,28079,Madrid,6,Tetuán,64,Almenara,https://www.wikidata.org/wiki/Q2265427,24.090,11.272,12.818
1 de enero de 2024,28079,Madrid,6,Tetuán,65,Valdeacederas,https://www.wikidata.org/wiki/Q10388711,27.798,13.024,14.774
1 de enero de 2024,28079,Madrid,6,Tetuán,66,Berruguete,https://www.wikidata.org/wiki/Q11909208,26.813,12.119,14.694
1 de enero de 2024,28079,Madrid,7,Chamberí,71,Gaztambide,https://www.wikidata.org/wiki/Q10288587,23.533,10.421,13.112
