fecha_dia,FECHA_HORA_RDF,codigo_estacion,sentido_codigo,Hora_Codigo,Valor_Intensidad
01/03/2025,2025-03-01T01:00:00,ES01,Norte,HOR1,729
,,,,HOR2,588
,,,,HOR3,421
,,,,HOR4,423
,,,,HOR5,414
,,,,HOR6,356
,,,,HOR7,254
,,,,HOR8,315
,,,,HOR9,544
,,,,HOR10,709
,,,,HOR11,895
,,,,HOR12,1126
01/03/2025,2025-03-01T01:00:00,ES01,Sur,HOR1,1297
,,,,HOR2,1417
,,,,HOR3,843
,,,,HOR4,920
,,,,HOR5,1062
,,,,HOR6,1086
,,,,HOR7,1155
,,,,HOR8,1276
,,,,HOR9,1158
,,,,HOR10,877
,,,,HOR11,893
,,,,HOR12,939
01/03/2025,2025-03-01T01:00:00,ES01,Este,HOR1,638
,,,,HOR2,496
,,,,HOR3,345
,,,,HOR4,309
,,,,HOR5,300
,,,,HOR6,358
,,,,HOR7,302
,,,,HOR8,377
,,,,HOR9,589
,,,,HOR10,853
,,,,HOR11,1107
,,,,HOR12,1221
01/03/2025,2025-03-01T01:00:00,ES01,Oeste,HOR1,1309
,,,,HOR2,1181
,,,,HOR3,895
,,,,HOR4,973
,,,,HOR5,1076
,,,,HOR6,1065
,,,,HOR7,1049
,,,,HOR8,1042
,,,,HOR9,878
,,,,HOR10,830
,,,,HOR11,745
,,,,HOR12,799
01/03/2025,2025-03-01T01:00:00,ES02,Norte,HOR1,412
,,,,HOR2,405
,,,,HOR3,351
,,,,HOR4,275
,,,,HOR5,275
,,,,HOR6,278
,,,,HOR7,276
,,,,HOR8,198
,,,,HOR9,236
,,,,HOR10,278
,,,,HOR11,336
,,,,HOR12,429
01/03/2025,2025-03-01T01:00:00,ES02,Sur,HOR1,520
,,,,HOR2,541
,,,,HOR3,534
,,,,HOR4,477
,,,,HOR5,522
,,,,HOR6,451
,,,,HOR7,505
,,,,HOR8,542
,,,,HOR9,573
,,,,HOR10,435
,,,,HOR11,424
,,,,HOR12,349
01/03/2025,2025-03-01T01:00:00,ES02,Este,HOR1,1111
,,,,HOR2,942
,,,,HOR3,790
,,,,HOR4,640
,,,,HOR5,539
,,,,HOR6,473
,,,,HOR7,536
,,,,HOR8,548
,,,,HOR9,762
,,,,HOR10,830
,,,,HOR11,961
,,,,HOR12,1033
01/03/2025,2025-03-01T01:00:00,ES02,Oeste,HOR1,1009
,,,,HOR2,1103
,,,,HOR3,1080
,,,,HOR4,1119
,,,,HOR5,1016
,,,,HOR6,1133
,,,,HOR7,1005
,,,,HOR8,879
,,,,HOR9,956
,,,,HOR10,1034
,,,,HOR11,1123
,,,,HOR12,1013
01/03/2025,2025-03-01T01:00:00,ES03,Norte,HOR1,514
,,,,HOR2,427
,,,,HOR3,314
,,,,HOR4,225
,,,,HOR5,172
,,,,HOR6,190
,,,,HOR7,211
,,,,HOR8,399
,,,,HOR9,502
,,,,HOR10,719
,,,,HOR11,1115
,,,,HOR12,1207
01/03/2025,2025-03-01T01:00:00,ES03,Sur,HOR1,1418
,,,,HOR2,1492
,,,,HOR3,1559
,,,,HOR4,944
,,,,HOR5,868
,,,,HOR6,1037
,,,,HOR7,1138
,,,,HOR8,1327
,,,,HOR9,1387
,,,,HOR10,1151
,,,,HOR11,671
,,,,HOR12,628
01/03/2025,2025-03-01T01:00:00,ES03,Este,HOR1,382
,,,,HOR2,293
,,,,HOR3,169
,,,,HOR4,105
,,,,HOR5,87
,,,,HOR6,117
,,,,HOR7,104
,,,,HOR8,150
,,,,HOR9,276
,,,,HOR10,296
,,,,HOR11,482
,,,,HOR12,588
01/03/2025,2025-03-01T01:00:00,ES03,Oeste,HOR1,733
,,,,HOR2,887
,,,,HOR3,987
,,,,HOR4,678
,,,,HOR5,487
,,,,HOR6,624
,,,,HOR7,717
,,,,HOR8,733
,,,,HOR9,748
,,,,HOR10,750
,,,,HOR11,549
,,,,HOR12,542
01/03/2025,2025-03-01T01:00:00,ES04,Norte,HOR1,402
,,,,HOR2,348
,,,,HOR3,310
,,,,HOR4,195
,,,,HOR5,215
,,,,HOR6,210
,,,,HOR7,209
,,,,HOR8,182
,,,,HOR9,313
,,,,HOR10,434
,,,,HOR11,521
,,,,HOR12,632
01/03/2025,2025-03-01T01:00:00,ES04,Sur,HOR1,825
,,,,HOR2,913
,,,,HOR3,976
